y,T,p
0.004,1478.93,100000
0.00405556,1479.72,100000
0.00411111,1480.5,100000
0.00416667,1481.28,100000
0.00422222,1482.06,100000
0.00427778,1482.84,100000
0.00433333,1483.62,100000
0.00438889,1484.4,100000
0.00444444,1485.18,100000
0.0045,1485.97,100000
0.00455556,1486.75,100000
0.00461111,1487.53,100000
0.00466667,1488.31,100000
0.00472222,1489.09,100000
0.00477778,1489.87,100000
0.00483333,1490.65,100000
0.00488889,1491.43,100000
0.00494444,1492.21,100000
0.005,1492.99,100000
0.00505556,1493.77,100000
0.00511111,1494.56,100000
0.00516667,1495.34,100000
0.00522222,1496.12,100000
0.00527778,1496.9,100000
0.00533333,1497.68,100000
0.00538889,1498.46,100000
0.00544444,1499.23,100000
0.0055,1500,100000
